"region_code","series_code","year","value"
"ABW","EN.ATM.CO2E.LF.KT",1960,"11092.68"
"ABW","EN.ATM.CO2E.LF.KT",1961,"11576.72"
"ABW","EN.ATM.CO2E.LF.KT",1962,"12713.49"
"ABW","EN.ATM.CO2E.LF.KT",1963,"12178.11"
"ABW","EN.ATM.CO2E.LF.KT",1964,"11840.74"
"ABW","EN.ATM.CO2E.LF.KT",1965,"10623.30"
"ABW","EN.ATM.CO2E.LF.KT",1966,"9933.90"
"ABW","EN.ATM.CO2E.LF.KT",1967,"12236.78"
"ABW","EN.ATM.CO2E.LF.KT",1968,"11378.70"
"ABW","EN.ATM.CO2E.LF.KT",1969,"14891.69"
"ABW","EN.ATM.CO2E.LF.KT",1970,"16655.51"
"ABW","EN.ATM.CO2E.LF.KT",1971,"14495.65"
"ABW","EN.ATM.CO2E.LF.KT",1972,"14055.61"
"ABW","EN.ATM.CO2E.LF.KT",1973,"15592.08"
"ABW","EN.ATM.CO2E.LF.KT",1974,"14132.62"
"ABW","EN.ATM.CO2E.LF.KT",1975,"10234.60"
"ABW","EN.ATM.CO2E.LF.KT",1976,"21862.65"
"ABW","EN.ATM.CO2E.LF.KT",1977,"11419.04"
"ABW","EN.ATM.CO2E.LF.KT",1978,"9724.88"
"ABW","EN.ATM.CO2E.LF.KT",1979,"10201.59"
"ABW","EN.ATM.CO2E.LF.KT",1980,"10498.62"
"ABW","EN.ATM.CO2E.LF.KT",1981,"9999.91"
"ABW","EN.ATM.CO2E.LF.KT",1982,"11180.68"
"ABW","EN.ATM.CO2E.LF.KT",1983,"5746.19"
"ABW","EN.ATM.CO2E.LF.KT",1984,"14348.97"
"ABW","EN.ATM.CO2E.LF.KT",1985,"16794.86"
"ABW","EN.ATM.CO2E.LF.KT",1986,"179.68"
"ABW","EN.ATM.CO2E.LF.KT",1987,"447.37"
"ABW","EN.ATM.CO2E.LF.KT",1988,"612.39"
"ABW","EN.ATM.CO2E.LF.KT",1989,"649.06"
"ABW","EN.ATM.CO2E.LF.KT",1990,"487.71"
"ABW","EN.ATM.CO2E.LF.KT",1991,"531.72"
"ABW","EN.ATM.CO2E.LF.KT",1992,"539.05"
"ABW","EN.ATM.CO2E.LF.KT",1993,"649.06"
"ABW","EN.ATM.CO2E.LF.KT",1994,"660.06"
"ABW","EN.ATM.CO2E.LF.KT",1995,"707.73"
"ABW","EN.ATM.CO2E.LF.KT",1996,"726.07"
"ABW","EN.ATM.CO2E.LF.KT",1997,"759.07"
"ABW","EN.ATM.CO2E.LF.KT",1998,"806.74"
"ABW","EN.ATM.CO2E.LF.KT",1999,"810.41"
"ABW","EN.ATM.CO2E.LF.KT",2000,"2379.88"
"ABW","EN.ATM.CO2E.LF.KT",2001,"2409.22"
"ABW","EN.ATM.CO2E.LF.KT",2002,"2438.56"
"ABW","EN.ATM.CO2E.LF.KT",2003,"2563.23"
"ABW","EN.ATM.CO2E.LF.KT",2004,"2618.24"
"ABW","EN.ATM.CO2E.LF.KT",2005,"2720.91"
"ABW","EN.ATM.CO2E.LF.KT",2006,"2717.25"
"ABW","EN.ATM.CO2E.LF.KT",2007,"2823.59"
"ABW","EN.ATM.CO2E.LF.KT",2008,"2658.58"
"ABW","EN.ATM.CO2E.LF.KT",2009,"2629.24"
"ABW","EN.ATM.CO2E.LF.KT",2010,"2508.23"
"ABW","EN.ATM.CO2E.LF.KT",2011,"2500.89"
"ABW","EN.ATM.CO2E.LF.KT",2012,"1349.46"
"ABW","EN.ATM.CO2E.LF.KT",2013,"861.75"
"ABW","EN.ATM.CO2E.LF.KT",2014,"872.75"
"ABW","EN.ATM.CO2E.LF.KT",2015,"898.42"
"ABW","EN.ATM.CO2E.LF.KT",2016,"883.75"
"ABW","EN.ATM.GHGO.KT.CE",1970,"19.67"
"ABW","EN.ATM.GHGO.KT.CE",1971,"19.96"
"ABW","EN.ATM.GHGO.KT.CE",1972,"20.01"
"ABW","EN.ATM.GHGO.KT.CE",1973,"19.72"
"ABW","EN.ATM.GHGO.KT.CE",1974,"18.93"
"ABW","EN.ATM.GHGO.KT.CE",1975,"15.43"
"ABW","EN.ATM.GHGO.KT.CE",1976,"30.51"
"ABW","EN.ATM.GHGO.KT.CE",1977,"36.40"
"ABW","EN.ATM.GHGO.KT.CE",1978,"95.21"
"ABW","EN.ATM.GHGO.KT.CE",1979,"121.03"
"ABW","EN.ATM.GHGO.KT.CE",1980,"114.68"
"ABW","EN.ATM.GHGO.KT.CE",1981,"191.59"
"ABW","EN.ATM.GHGO.KT.CE",1982,"204.15"
"ABW","EN.ATM.GHGO.KT.CE",1983,"239.23"
"ABW","EN.ATM.GHGO.KT.CE",1984,"246.73"
"ABW","EN.ATM.GHGO.KT.CE",1985,"219.77"
"ABW","EN.ATM.GHGO.KT.CE",1986,"127.88"
"ABW","EN.ATM.GHGO.KT.CE",1987,"143.94"
"AFG","EN.ATM.CO2E.GF.KT",1967,"260.36"
"AFG","EN.ATM.CO2E.GF.KT",1968,"348.37"
"AFG","EN.ATM.CO2E.GF.KT",1970,"216.35"
"AFG","EN.ATM.CO2E.GF.KT",1971,"440.04"
"AFG","EN.ATM.CO2E.GF.KT",1972,"300.69"
"AFG","EN.ATM.CO2E.GF.KT",1973,"333.70"
"AFG","EN.ATM.CO2E.GF.KT",1974,"399.70"
"AFG","EN.ATM.CO2E.GF.KT",1975,"476.71"
"AFG","EN.ATM.CO2E.GF.KT",1976,"300.69"
"AFG","EN.ATM.CO2E.GF.KT",1977,"513.38"
"AFG","EN.ATM.CO2E.GF.KT",1978,"300.69"
