series_name,series_code
CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT
CO2 emissions (kt),EN.ATM.CO2E.KT
CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT
CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT
Other greenhouse gas emissions; HFC; PFC and SF6 (thousand metric tons of CO2 equivalent),EN.ATM.GHGO.KT.CE
Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE
HFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.HFCG.KT.CE
Agricultural methane emissions (thousand metric tons of CO2 equivalent),EN.ATM.METH.AG.KT.CE
Methane emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.METH.EG.KT.CE
Methane emissions (kt of CO2 equivalent),EN.ATM.METH.KT.CE
Agricultural nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.AG.KT.CE
Nitrous oxide emissions in energy sector (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.EG.KT.CE
Nitrous oxide emissions (thousand metric tons of CO2 equivalent),EN.ATM.NOXE.KT.CE
PFC gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.PFCG.KT.CE
SF6 gas emissions (thousand metric tons of CO2 equivalent),EN.ATM.SF6G.KT.CE
